Year,Bowl Game Name,Team 1,Team 1 Conference,Team 1 AP Ranking,Team 1 Wins,Team 1 247 Talent Composite Score,Team 1 Total FB Social Followers,Team 1 Enrollment,Team 1 Total Alumni,Team 1 Alumni Dispersion,Team 1 Brand Power,Team 1 Lat,Team 1 Lon,Team 1 Time Zone,Team 2,Team 2 Conference,Team 2 AP Ranking,Team 2 Wins,Team 2 247 Talent Composite Score,Team 2 Total FB Social Followers,Team 2 Enrollment,Team 2 Total Alumni,Team 2 Alumni Dispersion,Team 2 Brand Power,Team 2 Lat,Team 2 Lon,Team 2 Time Zone,Venue,City,State,Venue Tier,Venue Capacity,Venue Lat,Venue Lon,Venue Time Zone,Team 1 Miles to Venue,Team 2 Miles to Venue,Date,Day of the Week,Local Start Time,Network,Viewers,Attendance,Bowl Avg Viewers,Bowl Avg Attendees,% Filled,Avg Wins,Total Wins,Avg AP Ranking,Best AP Ranking,Worst AP Ranking,SEC Present,Big 10 Present,Big 12 Present,ACC Present,Combined Fanbase Size (social + enrollment + alum),Avg Distace Traveled,Distance Minimum,Distance Imbalance,"Weekend Indicator (Weekend=1, Else 0)","Matchup Power Score (2=P4vP4, 1=P4vG5, 0=G5vG5)",Bowl Tier,Bowl Ownership,Local Team Indicator,AP Strength Score,Combined Fanbase (Log transformed),MinMax Scale Distcance,AP Strength Normalized,Predicted Attendence,Predicted % Filled,Actual Attendance,Bowl Avg Attendance,% Error
2022,Las Vegas Bowl,Oregon State Beavers,Pac-12 Conference,17,10,635.88,257900,35622,176468,Regional,102395.552,44.56,-123.27,PST,Florida Gators,Southeastern Conference,0,6,856.95,987400,54814,370873,Regional,344612.88,29.65,-82.35,EST,Allegiant Stadium,Las Vegas,NV,3,65000,36.11,-115.14,PST,724,1945,12/17/2022,Saturday,2:30 PM,ESPN,2430000,29750,2756667,25773,0.46,8,16,8.5,0,17,1,0,0,0,1883077,1334.284621,724,1220.79,1,1,2,2,0,17.5,6.27486831,0.3479075175,0.6222222222,"35,593.02",54.76%,29750,25773,19.64%
2024,Las Vegas Bowl,USC Trojans,Big Ten Conference,0,7,863.09,427400,47147,376732,Regional,175667.836,34.02,-118.28,PST,Texas A&M Aggies,Southeastern Conference,0,8,914.52,722400,76633,667867,Regional,299199.108,30.62,-96.34,CST,Allegiant Stadium,Las Vegas,NV,3,65000,36.11,-115.14,PST,229,1147,12/27/2024,Friday,10:30 PM,ESPN,2750000,26671,2756667,25773,0.41,7.5,15,0,0,0,1,0,0,0,2318179,688.0045296,229,918.22,0,2,2,2,0,26,6.365147155,0.1621000108,1,"32,274.71",49.65%,26671,25773,21.01%
2022,Liberty Bowl,Arkansas Razorbacks,Southeastern Conference,0,7,741.06,753400,32140,154540,Regional,248198.424,36.07,-94.18,CST,Kansas Jayhawks,Big 12 Conference,0,6,574.29,292400,28406,171566,Regional,110787.516,38.96,-95.25,CST,Simmons Bank Liberty Stadium,Memphis,TN,1,50000,35.12,-89.94,CST,247,395,12/28/2022,Wednesday,5:30 PM,ESPN,3910000,52847,3906667,46467,1.06,6.5,13,0,0,0,0,0,1,0,1432452,321.03527,247,147.97,0,2,1,1,0,26,6.156080381,0.05659522406,1,"41,843.75",83.69%,52847,46467,-20.82%
2023,Liberty Bowl,Memphis Tigers,American Conference,0,10,626.86,202000,21736,114618,Mostly In-State,76659.744,35.12,-89.94,CST,Iowa State Cyclones,Big 12 Conference,0,7,638.87,300500,30177,182047,Regional,114645.648,42.03,-93.65,CST,Simmons Bank Liberty Stadium,Memphis,TN,1,50000,35.12,-89.94,CST,0,518,12/29/2023,Friday,3:30 PM,ESPN,3600000,48789,3906667,46467,0.98,8.5,17,0,0,0,0,0,1,0,851078,258.7601247,0,517.52,0,1,1,1,1,26,5.929969875,0.03869092895,1,"46,659.89",93.32%,48789,46467,-4.36%
2024,Liberty Bowl,Arkansas Razorbacks,Southeastern Conference,0,7,779.17,753400,32140,154540,Regional,248213.668,36.07,-94.18,CST,Texas Tech Red Raiders,Big 12 Conference,0,8,732.07,416200,40773,205454,Highly Local,153852.828,33.58,-101.87,CST,Simmons Bank Liberty Stadium,Memphis,TN,1,50000,35.12,-89.94,CST,247,689,12/27/2024,Friday,7:00 PM,ESPN,4210000,37764,3906667,46467,0.76,7.5,15,0,0,0,0,0,1,0,1602507,467.8884434,247,441.68,0,2,1,1,0,26,6.204800206,0.09881596145,1,"43,057.05",86.11%,37764,46467,14.02%
2023,Military Bowl,Virginia Tech Hokies,Atlantic Coast Conference,0,7,638.89,422900,38294,221140,Regional,156898.356,37.23,-80.42,EST,Tulane Green Wave,American Conference,23,11,537.70,159100,13078,83542,Very National (Top 10%),58914.88,29.94,-90.12,CST,Navy-Marine Corps Memorial Stadium,Annapolis,MD,1,34000,38.98,-76.48,EST,246,995,12/27/2023,Wednesday,2:00 PM,ESPN,2260000,35849,1768667,25935,1.05,9,18,11.5,0,23,0,0,0,0,938054,620.596176,246,748.98,0,1,2,2,0,14.5,5.972228303,0.1427199025,0.4888888889,"27,573.99",81.10%,35849,25935,-23.08%
2024,Military Bowl,East Carolina Pirates,American Conference,0,8,611.66,193000,26785,147064,Mostly In-State,78208.064,35.61,-77.37,EST,NC State Wolfpack,Atlantic Coast Conference,0,6,722.41,369900,37323,231036,Mostly In-State,141827.164,35.79,-78.67,EST,Navy-Marine Corps Memorial Stadium,Annapolis,MD,1,34000,38.98,-76.48,EST,238,251,12/28/2024,Saturday,5:45 PM,ESPN,886000,23981,1768667,25935,0.71,7,14,0,0,0,0,0,0,1,1005108,244.7946938,238,13.34,1,1,2,2,0,26,6.002213162,0.03467582477,1,"29,071.21",85.50%,23981,25935,21.23%
2022,Military Bowl,Duke Blue Devils,Atlantic Coast Conference,0,9,603.98,318300,17112,145247,Very National (Top 10%),113678.692,36.00,-78.94,EST,UCF Knights,Big 12 Conference,0,9,636.16,453000,69233,311734,Mostly In-State,181174.464,28.60,-81.20,EST,Navy-Marine Corps Memorial Stadium,Annapolis,MD,1,34000,38.98,-76.48,EST,246,766,12/28/2022,Wednesday,2:00 PM,ESPN,2160000,17974,1768667,25935,0.53,9,18,0,0,0,0,0,1,0,1314626,506.1327656,246,520.33,0,2,2,2,0,26,6.118802548,0.1098113213,1,"28,067.94",82.55%,17974,25935,56.16%
2024,Music City Bowl,Missouri Tigers,Southeastern Conference,23,10,807.36,399800,31013,196047,Regional,146070.244,38.95,-92.33,CST,Iowa Hawkeyes,Big Ten Conference,0,8,723.51,583000,30042,169836,National,198181.404,41.66,-91.54,CST,Nissan Stadium,Nashville,TN,2,68798,36.17,-86.83,CST,357,456,12/30/2024,Monday,2:30 PM,ESPN,2820000,43375,2816667,45258,0.63,9,18,11.5,0,23,0,1,0,0,1409738,406.6912873,357,99.00,0,2,1,1,0,14.5,6.149138715,0.08122159153,0.4888888889,"40,292.45",58.57%,43375,45258,-7.11%
2023,Music City Bowl,Maryland Terrapins,Big Ten Conference,0,8,685.75,243000,2844,319736,Regional,105716.7,38.99,-76.94,EST,Auburn Tigers,Southeastern Conference,0,6,770.94,888500,33015,192921,National,292753.476,32.60,-85.49,CST,Nissan Stadium,Nashville,TN,2,68798,36.17,-86.83,CST,575,258,12/30/2023,Saturday,2:00 PM,ABC,2630000,50088,2816667,45258,0.73,7,14,0,0,0,1,0,0,0,1680016,416.4739813,258,316.88,1,2,1,1,0,26,6.225313676,0.08403414603,1,"48,404.45",70.36%,50088,45258,-3.36%
2022,Music City Bowl,Iowa Hawkeyes,Big Ten Conference,0,8,681.98,583000,30042,169836,National,198164.792,41.66,-91.54,CST,Kentucky Wildcats,Southeastern Conference,0,7,737.33,542700,32703,175722,Regional,187217.732,38.04,-84.50,EST,Nissan Stadium,Nashville,TN,2,68798,36.17,-86.83,CST,456,182,12/31/2022,Saturday,12:00 PM,ABC,3000000,42312,2816667,45258,0.62,7.5,15,0,0,0,1,0,0,0,1534003,319.1099363,182,274.17,1,2,1,1,0,26,6.185826492,0.05604168471,1,"46,814.65",68.05%,42312,45258,10.64%
2022,Myrtle Beach Bowl,Marshall Thundering Herd,Sun Belt Conference,0,9,455.3,152200,11027,58960,National,53943.52,38.42,-82.43,EST,UConn Huskies,Independent,0,6,239.17,142300,27364,171835,Regional,65441.968,41.81,-72.25,EST,Brooks Stadium,Conway,SC,1,21000,33.79,-79.01,EST,372,665,12/19/2022,Monday,2:30 PM,ESPN,921000,12023,962667,9415,0.57,7.5,15,0,0,0,0,0,0,0,563686,518.6360296,372,292.76,0,0,3,2,0,26,5.751038019,0.113406048,1,"14,515.77",69.12%,12023,9415,20.73%
2024,Myrtle Beach Bowl,UTSA Roadrunners,American Conference,0,7,644.36,148700,24351,159591,Highly Local,65697.044,31.77,-106.50,CST,Coastal Carolina Chanticleers,Sun Belt Conference,0,6,557.61,196600,10829,48892,Regional,66258.044,33.79,-79.01,EST,Brooks Stadium,Conway,SC,1,21000,33.79,-79.01,EST,1598,0,12/23/2024,Monday,11:00 AM,ESPN,767000,8164,962667,9415,0.39,6.5,13,0,0,0,0,0,0,0,588963,799.2418018,0,1598.48,0,0,3,2,1,26,5.77008875,0.1940810674,1,"13,699.25",65.23%,8164,9415,67.80%
2023,Myrtle Beach Bowl,Ohio Bobcats,Mid-American Conference,0,10,342.6,123200,24937,189185,Regional,61002.94,39.33,-82.10,EST,Georgia Southern Eagles,Sun Belt Conference,0,6,416.69,137100,26041,113407,Mostly In-State,57845.576,32.43,-81.78,EST,Brooks Stadium,Conway,SC,1,21000,33.79,-79.01,EST,419,186,12/16/2023,Saturday,11:00 AM,ESPN,1200000,8059,962667,9415,0.38,8,16,0,0,0,0,0,0,0,613870,302.5475047,186,232.61,1,0,3,2,0,26,5.788077117,0.05127993489,1,"16,018.76",76.28%,8059,9415,98.77%
2023,New Mexico Bowl,Fresno State Bulldogs,Mountain West Conference,0,9,555.3,198300,23986,110359,Highly Local,75545.22,36.81,-119.74,PST,New Mexico State Aggies,Conference USA,0,10,378.99,71800,6849,82618,National,31323.196,32.28,-106.75,MST,University Stadium,Albuquerque,NM,1,39224,35.08,-106.62,MST,743,194,12/16/2023,Saturday,5:45 PM,ESPN,845000,30822,1368333,25268,0.79,9.5,19,0,0,0,0,0,0,0,493912,468.4788278,194,549.40,1,0,3,2,0,26,5.693650457,0.09898569876,1,"14,710.97",37.51%,30822,25268,-52.27%
2024,New Mexico Bowl,TCU Horned Frogs,Big 12 Conference,0,9,766.5,293300,12785,78653,Mostly In-State,98718.9,32.71,-97.36,CST,Louisiana Ragin' Cajuns,Sun Belt Conference,0,10,553.39,111900,15345,80684,Mostly In-State,44928.756,30.21,-92.02,CST,University Stadium,Albuquerque,NM,1,39224,35.08,-106.62,MST,555,913,12/25/2024,Wednesday,2:15 PM,ESPN,1220000,22827,1368333,25268,0.58,9.5,19,0,0,0,0,0,0,0,592667,733.9461375,555,357.19,0,1,3,2,0,26,5.772811479,0.1753083638,1,"11,914.43",30.38%,22827,25268,-47.81%
