Year,Bowl Game Name,Team 1,Team 1 Conference,Team 1 AP Ranking,Team 1 Wins,Team 1 247 Talent Composite Score,Team 1 Total FB Social Followers,Team 1 Enrollment,Team 1 Total Alumni,Team 1 Alumni Dispersion,Team 1 Brand Power,Team 1 Lat,Team 1 Lon,Team 1 Time Zone,Team 2,Team 2 Conference,Team 2 AP Ranking,Team 2 Wins,Team 2 247 Talent Composite Score,Team 2 Total FB Social Followers,Team 2 Enrollment,Team 2 Total Alumni,Team 2 Alumni Dispersion,Team 2 Brand Power,Team 2 Lat,Team 2 Lon,Team 2 Time Zone,Venue,City,State,Venue Tier,Venue Capacity,Venue Lat,Venue Lon,Venue Time Zone,Team 1 Miles to Venue,Team 2 Miles to Venue,Date,Day of the Week,Local Start Time,Network,Viewers,Attendance,Bowl Avg Viewers,Bowl Avg Attendees,% Filled,Avg Wins,Total Wins,Avg AP Ranking,Best AP Ranking,Worst AP Ranking,SEC Present,Big 10 Present,Big 12 Present,ACC Present,Combined Fanbase Size (social + enrollment + alum),Avg Distace Traveled,Distance Minimum,Distance Imbalance,"Weekend Indicator (Weekend=1, Else 0)","Matchup Power Score (2=P4vP4, 1=P4vG5, 0=G5vG5)",Bowl Tier,Bowl Ownership,Local Team Indicator,AP Strength Score,Combined Fanbase (Log transformed),MinMax Scale Distcance,AP Strength Normalized,Predicted Attendence,Predicted % Filled,Actual Attendance,Bowl Avg Attendance,% Error
2024,68 Ventures Bowl,Arkansas State Red Wolves,Sun Belt Conference,0,8,573.27,121300,14032,64259,Regional,45851.608,35.84,-90.68,CST,Bowling Green Falcons,Mid-American Conference,0,7,484.51,118000,17027,133406,Mostly In-State,52339.804,41.38,-83.64,EST,Hancock Whitney Stadium,Mobile,AL,1,25450,30.70,-88.18,CST,384,780,12/26/2024,Thursday,9:00 PM,ESPN,1680000,19582,1221667,20340,0.77,7.5,15,0,0,0,0,0,0,0,468024,581.8764352,384,396.16,0,0,3,1,0,26,5.670269052,0.1315878584,1,"19,283.26",75.77%,19582,20340,-1.53%
2023,68 Ventures Bowl,South Alabama Jaguars,Sun Belt Conference,0,7,545.68,102300,13768,63975,Regional,40059.372,30.70,-88.18,CST,Eastern Michigan Eagles,Mid-American Conference,0,6,377.07,112500,13324,129009,Mostly In-State,49466.528,42.25,-83.63,EST,Hancock Whitney Stadium,Mobile,AL,1,25450,30.70,-88.18,CST,0,837,12/23/2023,Saturday,7:00 PM,ESPN,765000,20926,1221667,20340,0.82,6.5,13,0,0,0,0,0,0,0,434876,418.6030728,0,837.21,1,0,3,1,1,26,5.638366439,0.08464626636,1,"20,364.77",80.02%,20926,20340,-2.68%
2022,68 Ventures Bowl,Southern Miss Golden Eagles,Sun Belt Conference,0,7,478.97,133200,13110,83364,Regional,51109.988,31.33,-89.33,CST,Rice Owls,American Conference,0,5,441.93,108200,8556,67890,Regional,41136.972,29.72,-95.40,CST,Hancock Whitney Stadium,Mobile,AL,1,25450,30.70,-88.18,CST,81,437,12/17/2022,Saturday,5:45 PM,ESPN,1220000,20512,1221667,20340,0.81,6,12,0,0,0,0,0,0,0,414320,258.7485638,81,355.55,1,0,3,1,1,26,5.617336946,0.03868760514,1,"20,881.95",82.05%,20512,20340,1.80%
2024,Alamo Bowl,BYU Cougars,Big 12 Conference,17,11,602.46,379700,35074,236737,Regional,144839.484,40.25,-111.65,MST,Colorado Buffaloes,Big 12 Conference,20,9,749.16,1503800,41432,233775,Regional,483103.564,40.01,-105.27,MST,Alamodome,San Antonio ,TX,1,64000,31.77,-106.50,CST,652,573,12/28/2024,Saturday,7:30 PM,ABC,8000000,64261,5570000,60958,1.00,10,20,18.5,17,20,0,0,1,0,2430518,612.933832,573,79.02,1,2,1,1,0,7.5,6.38569902,0.1405169552,0.1777777778,"57,037.79",89.12%,64261,60958,-11.24%
2022,Alamo Bowl,Washington Huskies,Big Ten Conference,12,11,761.72,471300,55620,389616,Regional,191780.288,47.66,-122.31,PST,Texas Longhorns,Southeastern Conference,21,8,887.45,1596800,53082,472290,Regional,537240.38,30.28,-97.74,CST,Alamodome,San Antonio ,TX,1,64000,31.77,-106.50,CST,1376,529,12/29/2022,Thursday,9:00 PM,ESPN,4780000,62730,5570000,60958,0.98,9.5,19,16.5,12,21,1,0,0,0,3038708,952.6689334,529,847.43,0,2,1,1,0,9.5,6.482689112,0.2381918379,0.2666666667,"62,473.21",97.61%,62730,60958,-0.41%
2023,Alamo Bowl,Arizona Wildcats,Big 12 Conference,14,10,687.01,292600,53001,253727,Regional,124027.704,32.23,-110.95,MST,Oklahoma Sooners,Southeastern Conference,12,10,884.97,1379800,29145,173771,Regional,437500.088,35.21,-97.44,CST,Alamodome,San Antonio ,TX,1,64000,31.77,-106.50,CST,262,573,12/28/2023,Thursday,9:15 PM,ESPN,3930000,55883,5570000,60958,0.87,10,20,13,12,14,1,0,0,0,2182044,417.905489,262,310.82,0,2,1,1,0,13,6.338863703,0.08444570887,0.4222222222,"62,530.58",97.70%,55883,60958,11.90%
2024,Arizona Bowl,Miami (OH) RedHawks,Mid-American Conference,0,9,505.3,142200,18618,174340,Regional,64019.72,39.51,-84.73,EST,Colorado State Rams,Mountain West Conference,0,8,546.04,150300,33500,223830,Mostly In-State,74391.416,40.57,-105.08,MST,Arizona Stadium,Tucson,AZ,1,50782,32.23,-110.95,MST,1545,662,12/28/2024,Saturday,4:30 PM,CW,567000,40076,754333,32732,0.79,8.5,17,0,0,0,0,0,0,0,742788,1103.560417,662,883.03,1,0,3,1,0,26,5.870865464,0.2815736018,1,"23,078.16",45.45%,40076,32732,-42.41%
2023,Arizona Bowl,Wyoming Cowboys,Mountain West Conference,0,9,338.5,169500,10913,56038,National,58771.8,41.31,-105.58,MST,Toledo Rockets,Mid-American Conference,0,11,497.64,145900,14939,110174,Regional,57974.256,41.66,-83.61,EST,Arizona Stadium,Tucson,AZ,1,50782,32.23,-110.95,MST,694,1635,12/30/2023,Saturday,4:30 PM,CW,1100000,30428,754333,32732,0.60,10,20,0,0,0,0,0,0,0,507464,1164.462927,694,941.22,1,0,3,1,0,26,5.705406094,0.29908326,1,"22,840.31",44.98%,30428,32732,-24.94%
2022,Arizona Bowl,Ohio Bobcats,Mid-American Conference,0,10,365.74,123200,24937,189185,Regional,61012.196,39.33,-82.10,EST,Wyoming Cowboys,Mountain West Conference,0,7,292.03,169500,10913,56038,National,58753.212,41.31,-105.58,MST,Arizona Stadium,Tucson,AZ,1,50782,32.23,-110.95,MST,1682,694,12/30/2022,Friday,4:30 PM,Barstool Sports,596000,27691,754333,32732,0.55,8.5,17,0,0,0,0,0,0,0,573773,1187.758102,694,987.81,0,0,3,1,0,26,5.758740865,0.3057806944,1,"21,562.88",42.46%,27691,32732,-22.13%
2022,Armed Forces Bowl,Air Force Falcons,Mountain West Conference,0,10,0,128000,4124,37126,Very National (Top 10%),42937.4,39.01,-104.89,MST,Baylor Bears,Big 12 Conference,0,6,666.05,371400,20824,119218,Mostly In-State,127773.02,31.55,-97.12,CST,Amon G. Carter Stadium,Fort Worth,TX,1,47000,32.71,-97.36,CST,606,82,12/22/2022,Thursday,7:30 PM,ESPN,1990000,43875,2426667,41819,0.93,8,16,0,0,0,0,0,1,0,680692,343.5719474,82,523.95,0,1,2,2,1,26,5.832951285,0.06307458788,1,"37,362.40",79.49%,43875,41819,-14.84%
2024,Armed Forces Bowl,Navy Midshipmen,American Conference,0,10,0,235600,4465,48194,Very National (Top 10%),76392.4,38.98,-76.48,EST,Oklahoma Sooners,Southeastern Conference,0,6,906.61,1379800,29145,173771,Regional,437508.744,35.21,-97.44,CST,Amon G. Carter Stadium,Fort Worth,TX,1,47000,32.71,-97.36,CST,1244,173,12/27/2024,Friday,12:00 PM,ESPN,2850000,50754,2426667,41819,1.08,8,16,0,0,0,1,0,0,0,1870975,708.3178825,173,1071.06,0,1,2,2,0,26,6.272068217,0.167940162,1,"47,000.00",100.00%,50754,41819,-7.40%
2023,Armed Forces Bowl,Air Force Falcons,Mountain West Conference,0,9,0,128000,4124,37126,Very National (Top 10%),42937.4,39.01,-104.89,MST,James Madison Dukes,Sun Belt Conference,24,11,196.53,183400,22758,142010,Regional,73851.212,38.44,-78.87,EST,Amon G. Carter Stadium,Fort Worth,TX,1,47000,32.71,-97.36,CST,606,1110,12/23/2023,Saturday,3:30 PM,ABC,2440000,30828,2426667,41819,0.66,10,20,12,0,24,0,0,0,0,517418,857.6372236,606,504.18,1,0,2,2,0,14,5.713842372,0.2108699301,0.4666666667,"34,009.61",72.36%,30828,41819,10.32%
2022,Bahamas Bowl,UAB Blazers,American Conference,0,7,443.8,130600,21160,109967,Regional,54586.22,33.51,-86.80,CST,Miami (OH) RedHawks,Mid-American Conference,0,6,397.26,142200,18618,174340,Regional,63976.504,39.51,-84.73,EST,Thomas A. Robinson National Stadium,Nassau,Bahamas,1,15000,25.05,-77.36,EST,815,1087,12/16/2022,Friday,11:30 AM,ESPN,822000,12172,981000,8391,0.81,6.5,13,0,0,0,0,0,0,0,596885,950.7407399,815,272.04,0,0,3,1,0,26,5.775891393,0.2376374764,1,"15,000.00",100.00%,12172,8391,23.23%
2024,Bahamas Bowl,Buffalo Bulls,Mid-American Conference,0,9,435.22,94700,31889,176116,Mostly In-State,52573.488,43.00,-78.79,EST,Liberty Flames,Conference USA,0,8,569.65,179700,103068,245045,Very National (Top 10%),99255.96,37.35,-79.18,EST,Thomas A. Robinson National Stadium,Nassau,Bahamas,1,15000,25.05,-77.36,EST,1243,856,1/4/2025,Saturday,11:00 AM,ESPN,1140000,4610,981000,8391,0.31,8.5,17,0,0,0,0,0,0,0,830518,1049.634874,856,386.34,1,0,3,1,0,26,5.919349572,0.2660698429,1,"15,000.00",100.00%,4610,8391,225.38%
2024,Birmingham Bowl,Vanderbilt Commodores,Southeastern Conference,0,7,695.96,222300,13456,100893,Very National (Top 10%),79748.884,36.15,-86.80,CST,Georgia Tech Yellow Jackets,Atlantic Coast Conference,0,7,703.00,248300,47946,246242,National,108984.6,33.77,-84.39,EST,Protective Stadium,Birmingham ,AL,1,47100,33.51,-86.80,CST,182,140,12/27/2024,Friday,3:30 PM,ESPN,4050000,33840,3113333,23255,0.72,7,14,0,0,0,0,0,0,1,879137,161.0111641,140,42.94,0,2,2,2,0,26,5.944057052,0.01058780324,1,"23,678.52",50.27%,33840,23255,-30.03%
2023,Birmingham Bowl,Duke Blue Devils,Atlantic Coast Conference,0,8,620.9,318300,17112,145247,Very National (Top 10%),113685.46,36.00,-78.94,EST,Troy Trojans,Sun Belt Conference,0,11,454.06,120100,13923,89401,National,47936.324,31.80,-85.96,CST,Protective Stadium,Birmingham ,AL,1,47100,33.51,-86.80,CST,478,128,12/23/2023,Saturday,12:00 PM,ABC,2670000,20023,3113333,23255,0.43,9.5,19,0,0,0,0,0,0,0,704083,302.9640886,128,350.64,1,1,2,2,0,26,5.847624475,0.05139970405,1,"21,011.85",44.61%,20023,23255,4.94%
2022,Birmingham Bowl,East Carolina Pirates,American Conference,0,8,494.82,193000,26785,147064,Mostly In-State,78161.328,35.61,-77.37,EST,Coastal Carolina Chanticleers,Sun Belt Conference,0,9,446.58,196600,10829,48892,Regional,66213.632,33.79,-79.01,EST,Protective Stadium,Birmingham ,AL,1,47100,33.51,-86.80,CST,556,448,12/27/2022,Tuesday,6:45 PM,ESPN,2620000,15901,3113333,23255,0.34,8.5,17,0,0,0,0,0,0,0,623170,502.0005259,448,107.45,0,0,2,2,0,26,5.794607235,0.1086232897,1,"26,051.24",55.31%,15901,23255,63.83%
2023,Boca Raton Bowl,South Florida Bulls,American Conference,0,7,622.89,261300,48572,266499,Mostly In-State,115003.456,28.06,-82.41,EST,Syracuse Orange,Atlantic Coast Conference,0,6,610.75,260000,22948,160500,National,98883.9,43.04,-76.13,EST,Flagler Credit Union Stadium,Boca Raton,FL,1,30000,29.90,-81.32,EST,143,952,12/21/2023,Thursday,8:00 PM,ESPN,1050000,20711,1260000,20667,0.69,6.5,13,0,0,0,0,0,0,1,1019819,547.5378268,143,808.30,0,1,3,2,0,26,6.008523525,0.1217154032,1,"20,097.70",66.99%,20711,20667,-2.96%
2022,Boca Raton Bowl,Toledo Rockets,Mid-American Conference,0,9,498.98,145900,14939,110174,Regional,57974.792,41.66,-83.61,EST,Liberty Flames,Conference USA,0,8,161.88,179700,103068,245045,Very National (Top 10%),99092.852,37.35,-79.18,EST,Flagler Credit Union Stadium,Boca Raton,FL,1,30000,29.90,-81.32,EST,823,529,12/20/2022,Tuesday,3:30 PM,ESPN,1470000,20622,1260000,20667,0.69,8.5,17,0,0,0,0,0,0,0,798826,675.8537929,529,293.51,0,0,3,2,0,26,5.902452735,0.1586066367,1,"18,448.38",61.49%,20622,20667,-10.54%
2022,Camellia Bowl,Buffalo Bulls,Mid-American Conference,0,7,370.96,94700,31889,176116,Mostly In-State,52547.784,43.00,-78.79,EST,Georgia Southern Eagles,Sun Belt Conference,0,6,414.14,137100,26041,113407,Mostly In-State,57844.556,32.43,-81.78,EST,Cramton Bowl,Montgomery,AL,1,21000,32.38,-86.30,CST,840,263,12/27/2022,Tuesday,12:00 PM,ESPN,1550000,15322,1560000,13316,0.73,6.5,13,0,0,0,0,0,0,0,579253,551.7695131,263,576.88,0,0,3,2,0,26,5.762869041,0.122932026,1,"16,217.19",77.22%,15322,13316,5.84%
2023,Camellia Bowl,Northern Illinois Huskies,Mid-American Conference,,7,352.36,110000,15504,163837,Mostly In-State,52625.444,41.93,-88.77,CST,Arkansas State Red Wolves,Sun Belt Conference,0,6,487.40,121300,14032,64259,Regional,45817.26,35.84,-90.68,CST,Cramton Bowl,Montgomery,AL,1,21000,32.38,-86.30,CST,674,347,12/23/2023,Saturday,12:00 PM,ESPN,1570000,11310,1560000,13316,0.54,6.5,13,0,0,0,0,0,0,0,488932,510.3407706,347,327.50,1,0,3,2,0,13,5.68924935,0.1110211356,0.4222222222,"10,875.46",51.79%,11310,13316,-3.84%
2024,Cheez-It Bowl,Kansas State Wildcats,Big 12 Conference,0,9,651.75,274400,19745,152636,Regional,101793.3,39.19,-96.58,CST,Rutgers Scarlet Knights,Big Ten Conference,0,7,663.55,295400,50617,266030,Regional,125611.82,40.50,-74.45,EST,Chase Field,Phoenix,AZ,3,49033,33.45,-112.07,MST,947,2116,12/26/2024,Thursday,5:30 PM,ESPN,3500000,21659,2916667,23775,0.44,8,16,0,0,0,0,1,0,0,1058828,1531.868935,947,1168.85,0,2,1,1,0,26,6.024825828,0.4047136134,1,"28,523.52",58.17%,21659,23775,31.69%
2023,Cheez-It Bowl,Kansas Jayhawks,Big 12 Conference,0,9,632.68,292400,28406,171566,Regional,110810.872,38.96,-95.25,CST,UNLV Rebels,Mountain West Conference,0,9,354.46,167200,21778,145643,Mostly In-State,69221.684,36.11,-115.14,PST,Chase Field,Phoenix,AZ,3,49033,33.45,-112.07,MST,1010,253,12/26/23,Tuesday,9:00 PM,ESPN,2690000,26478,2916667,23775,0.54,9,18,0,0,0,0,0,0,0,826993,631.7865143,253,756.98,0,1,1,1,0,26,5.917502359,0.1459371591,1,"27,654.46",56.40%,26478,23775,4.44%
2022,Cheez-It Bowl,Wisconsin Badgers,Big Ten Conference,0,7,744.44,720200,49605,308056,National,257084.376,43.08,-89.40,CST,Oklahoma State Cowboys,Big 12 Conference,0,7,670.53,384700,26043,177732,Regional,138660.012,36.12,-97.07,CST,Chase Field,Phoenix,AZ,3,49033,33.45,-112.07,MST,1392,870,12/27/22,Tuesday,10:15 PM,ESPN,2560000,23187,2916667,23775,0.47,7,14,0,0,0,0,0,1,0,1666336,1130.873785,870,521.68,0,2,1,1,0,26,6.221762838,0.2894262788,1,"31,105.11",63.44%,23187,23775,34.15%
2022,Citrus Bowl,LSU Tigers,Southeastern Conference,16,10,872.61,2200000,39418,214165,Regional,689649.144,30.41,-91.18,CST,Purdue Boilermakers,Big Ten Conference,0,8,646.08,272500,8874,353852,National,119168.432,40.43,-86.91,EST,Camping World Stadium,Orlando,FL,3,60219,28.54,-81.40,EST,602,879,1/2/2023,Monday,1:00 PM,ABC,3330000,42791,5065000,43326,0.71,9,18,8,0,16,0,1,0,0,3088809,740.4396398,602,276.99,0,2,1,1,0,18,6.489791195,0.1771752656,0.6444444444,"36,396.76",60.44%,42791,43326,-14.94%
2023,Citrus Bowl,Tennessee Volunteers,Southeastern Conference,25,9,821.07,1664400,36304,187046,Mostly In-State,525613.828,35.95,-83.93,EST,Iowa Hawkeyes,Big Ten Conference,20,10,692.62,583000,30042,169836,National,198169.048,41.66,-91.54,CST,Camping World Stadium,Orlando,FL,3,60219,28.54,-81.40,EST,533,1071,1/1/2024,Monday,1:00 PM,ABC,6800000,43861,5065000,43326,0.73,9.5,19,22.5,20,25,0,1,0,0,2670628,801.8504252,533,537.80,0,2,1,1,0,3.5,6.426613561,0.1948310546,0,"43,387.36",72.05%,43861,43326,-1.08%
2024,Cure Bowl,Ohio Bobcats,Mid-American Conference,0,11,450.55,123200,24937,189185,Regional,61046.12,39.33,-82.10,EST,Jacksonville State Gamecocks,Conference USA,0,9,430.94,60500,9672,39841,Regional,24240.876,33.82,-85.77,CST,Camping World Stadium,Orlando,FL,3,60219,28.54,-81.40,EST,746,447,12/20/2024,Friday,12:00 PM,ESPN,958000,10518,1456000,11183,0.17,10,20,0,0,0,0,0,0,0,447335,596.6659218,447,299.60,0,0,3,2,0,26,5.65063385,0.1358398811,1,"7,678.11",12.75%,10518,11183,-27.00%
2023,Cure Bowl,Appalachian State Mountaineers,Sun Belt Conference,,9,517.56,208900,21253,120159,Mostly In-State,79143.524,36.22,-81.68,EST,Miami (OH) RedHawks,Mid-American Conference,0,11,408.16,142200,18618,174340,Regional,63980.864,39.51,-84.73,EST,Camping World Stadium,Orlando,FL,3,60219,28.54,-81.40,EST,531,781,12/16/2023,Saturday,3:30 PM,ABC,1950000,11121,1456000,11183,0.18,10,20,0,0,0,0,0,0,0,685470,656.0117058,531,250.69,1,0,3,2,0,13,5.835989086,0.1529019759,0.4222222222,"6,437.48",10.69%,11121,11183,-42.11%
2022,Cure Bowl,Troy Trojans,Sun Belt Conference,23,12,464.3,120100,13923,89401,National,47940.42,31.80,-85.96,CST,UTSA Roadrunners,American Conference,22,11,515.76,148700,24351,159591,Highly Local,65645.604,31.77,-106.50,CST,Camping World Stadium,Orlando,FL,3,60219,28.54,-81.40,EST,353,1513,12/16/2022,Friday,3:00 PM,ESPN,1460000,11911,1456000,11183,0.20,11.5,23,22.5,22,23,0,0,0,0,556066,932.9957889,353,1159.61,0,0,3,2,0,3.5,5.745127122,0.2325357486,0,"16,956.89",28.16%,11911,11183,42.36%
2023,Duke's Mayo Bowl,West Virginia Mountaineers,Big 12 Conference,0,9,666.23,545500,24200,160808,National,184837.292,39.63,-79.95,EST,North Carolina Tar Heels,Atlantic Coast Conference,0,8,805.63,569400,32234,220432,Regional,199632.252,35.91,-79.05,EST,Bank of America Stadium,Charlotte,NC,2,75523,35.23,-80.85,EST,309,112,12/27/2023,Wednesday,5:30 PM,ESPN,3840000,42925,3300000,37360,0.57,8.5,17,0,0,0,0,0,0,1,1552574,210.2178765,112,196.73,0,2,1,1,0,26,6.191052589,0.02473488383,1,"39,760.43",52.65%,42925,37360,-7.37%
2024,Duke's Mayo Bowl,Minnesota Golden Gophers,Big Ten Conference,0,8,705.22,335500,9350,294902,Mostly In-State,132292.288,44.97,-93.24,CST,Virginia Tech Hokies,Atlantic Coast Conference,0,6,695.42,422900,38294,221140,Regional,156920.968,37.23,-80.42,EST,Bank of America Stadium,Charlotte,NC,2,75523,35.23,-80.85,EST,937,140,1/3/2025,Friday,7:30 PM,ESPN,3380000,31927,3300000,37360,0.42,7,14,0,0,0,0,0,0,1,1322086,538.7331727,140,796.52,0,2,1,1,0,26,6.121260035,0.1191840382,1,"36,321.38",48.09%,31927,37360,13.76%
2022,Duke's Mayo Bowl,Maryland Terrapins,Big Ten Conference,0,8,680.22,243000,2844,319736,Regional,105714.488,38.99,-76.94,EST,NC State Wolfpack,Atlantic Coast Conference,25,8,686.19,369900,37323,231036,Mostly In-State,141812.676,35.79,-78.67,EST,Bank of America Stadium,Charlotte,NC,2,75523,35.23,-80.85,EST,338,129,12/30/2022,Friday,12:00 PM,ESPN,2680000,37228,3300000,37360,0.49,8,16,12.5,0,25,0,0,0,1,1203839,233.0260329,129,209.02,0,2,1,1,0,13.5,6.08056877,0.03129229869,0.4444444444,"40,906.03",54.16%,37228,37360,9.88%
2023,Famous Idaho Potato Bowl,Georgia State Panthers,Sun Belt Conference,0,7,499.67,120800,34974,221726,Highly Local,65607.268,33.75,-84.39,EST,Utah State Aggies,Mountain West Conference,0,6,435.99,118400,28063,114531,Mostly In-State,52760.096,41.74,-111.81,MST,Albertsons Stadium,Boise,ID,1,36387,43.60,-116.20,MST,1832,257,12/23/2023,Saturday,3:30 PM,ESPN,1150000,12168,1193333,10883,0.33,6.5,13,0,0,0,0,0,0,0,638494,1044.918471,257,1574.94,1,0,3,2,0,26,5.805157501,0.2647138628,1,"11,895.41",32.69%,12168,10883,-2.24%
2024,Famous Idaho Potato Bowl,Northern Illinois Huskies,Mid-American Conference,,8,437.2,110000,15504,163837,Mostly In-State,52659.38,41.93,-88.77,CST,Fresno State Bulldogs,Mountain West Conference,0,6,568.31,198300,23986,110359,Highly Local,75550.424,36.81,-119.74,PST,Albertsons Stadium,Boise,ID,1,36387,43.60,-116.20,MST,1390,505,12/30/2024,Monday,2:30 PM,ESPN,1320000,10359,1193333,10883,0.28,7,14,0,0,0,0,0,0,0,621986,947.6143315,505,885.05,0,0,3,2,0,13,5.793781308,0.2367386244,0.4222222222,"11,011.82",30.26%,10359,10883,6.30%
2022,Famous Idaho Potato Bowl,Eastern Michigan Eagles,Mid-American Conference,0,9,404.1,112500,13324,129009,Mostly In-State,49477.34,42.25,-83.63,EST,San Jose State Spartans,Mountain West Conference,0,7,417.95,106700,36062,282204,Mostly In-State,67609.98,37.34,-121.88,PST,Albertsons Stadium,Boise,ID,1,36387,43.60,-116.20,MST,1640,526,12/20/2022,Tuesday,3:30 PM,ESPN,1110000,10122,1193333,10883,0.28,8,16,0,0,0,0,0,0,0,679799,1082.9308,526,1114.56,0,0,3,2,0,26,5.83238116,0.2756425238,1,"14,814.86",40.71%,10122,10883,46.36%
2024,Fenway Bowl,UConn Huskies,Independent,0,9,537.91,142300,27364,171835,Regional,65561.464,41.81,-72.25,EST,North Carolina Tar Heels,Atlantic Coast Conference,0,6,794.99,569400,32234,220432,Regional,199627.996,35.91,-79.05,EST,Fenway Park,Boston,MA,1,37755,42.35,-71.10,EST,70,615,12/28/2024,Saturday,11:00 AM,ESPN,2110000,29700,1843333,20313,0.79,7.5,15,0,0,0,0,0,0,1,1163565,342.6720673,70,545.61,1,1,3,2,1,26,6.065791022,0.0628158696,1,"24,953.62",66.09%,29700,20313,-15.98%
2023,Fenway Bowl,Boston College Eagles,Atlantic Coast Conference,0,7,650.23,200200,15280,133252,National,76701.292,42.34,-71.17,EST,SMU Mustangs,Atlantic Coast Conference,17,11,714.21,200600,11842,102694,Regional,73103.484,32.84,-96.78,CST,Fenway Park,Boston,MA,1,37755,42.35,-71.10,EST,4,1544,12/28/2023,Thursday,11:00 AM,ESPN,1460000,16238,1843333,20313,0.43,9,18,8.5,0,17,0,0,0,1,663868,773.907021,4,1540.18,0,2,3,2,1,17.5,5.822082389,0.1867972403,0.6222222222,"17,471.75",46.28%,16238,20313,7.60%
2022,Fenway Bowl,Louisville Cardinals,Atlantic Coast Conference,0,8,625.42,402100,22139,119709,Regional,137278.868,38.22,-85.76,EST,Cincinnati Bearcats,Big 12 Conference,0,9,650.89,269400,43338,208115,Mostly In-State,110559.456,39.13,-84.51,EST,Fenway Park,Boston,MA,1,37755,42.35,-71.10,EST,823,736,12/17/2022,Saturday,11:00 AM,ESPN,1960000,15000,1843333,20313,0.40,8.5,17,0,0,0,0,0,1,0,1064801,779.2721424,736,86.79,1,2,3,2,0,26,6.027268858,0.1883397291,1,"15,589.46",41.29%,15000,20313,3.93%
2023,First Responder Bowl,Texas State Bobcats,Sun Belt Conference,0,8,484.79,138900,38722,202324,Highly Local,69840.716,29.89,-97.94,CST,Rice Owls,American Conference,0,6,466.78,108200,8556,67890,Regional,41146.912,29.72,-95.40,CST,Gerald J. Ford Stadium,Dallas,TX,2,32000,32.84,-96.78,CST,215,231,12/26/2023,Tuesday,5:30 PM,ESPN,2800000,26542,2233333,21870,0.83,7,14,0,0,0,0,0,0,0,564592,223.0905876,215,15.54,0,0,3,2,0,26,5.751735489,0.02843582772,1,"15,440.72",48.25%,26542,21870,-41.83%
2024,First Responder Bowl,Texas State Bobcats,Sun Belt Conference,0,8,540.17,138900,38722,202324,Highly Local,69862.868,29.89,-97.94,CST,North Texas Mean Green,American Conference,0,6,595.42,120800,47507,242572,Highly Local,70236.768,33.21,-97.15,CST,Gerald J. Ford Stadium,Dallas,TX,2,32000,32.84,-96.78,CST,215,33,1/3/2025,Friday,4:00 PM,ESPN,1700000,28725,2233333,21870,0.90,7,14,0,0,0,0,0,0,0,790825,124.184415,33,182.27,0,0,3,2,1,26,5.898080939,0,1,"20,547.11",64.21%,28725,21870,-28.47%
2022,First Responder Bowl,Memphis Tigers,American Conference,0,7,533.26,202000,21736,114618,Mostly In-State,76622.304,35.12,-89.94,CST,Utah State Aggies,Mountain West Conference,0,6,371.37,118400,28063,114531,Mostly In-State,52734.248,41.74,-111.81,MST,Gerald J. Ford Stadium,Dallas,TX,2,32000,32.84,-96.78,CST,422,1027,12/27/2022,Tuesday,3:15 PM,ESPN,2200000,10343,2233333,21870,0.32,6.5,13,0,0,0,0,0,0,0,599348,724.8805952,422,604.91,0,0,3,2,0,26,5.777679785,0.1727019926,1,"14,160.46",44.25%,10343,21870,36.91%
2023,Frisco Bowl,UTSA Roadrunners,American Conference,0,9,574.52,148700,24351,159591,Highly Local,65669.108,31.77,-106.50,CST,Marshall Thundering Herd,Sun Belt Conference,0,6,478.59,152200,11027,58960,National,53952.836,38.42,-82.43,EST,Toyota Stadium,Frisco ,TX,1,22500,33.15,-96.83,CST,572,884,12/19/2023,Tuesday,9:30 PM,ESPN,988000,11215,1072667,11816,0.50,7.5,15,0,0,0,0,0,0,0,554829,727.9959895,572,312.86,0,0,3,2,0,26,5.744159936,0.173597678,1,"14,063.75",62.51%,11215,11816,25.40%
2022,Frisco Bowl,Boise State Broncos,Mountain West Conference,0,10,533.92,322200,26670,111237,Regional,113331.268,43.60,-116.20,MST,North Texas Mean Green,American Conference,0,7,504.97,120800,47507,242572,Highly Local,70200.588,33.21,-97.15,CST,Toyota Stadium,Frisco ,TX,1,22500,33.15,-96.83,CST,1269,19,12/17/2022,Saturday,9:15 PM,ESPN,1030000,12211,1072667,11816,0.54,8.5,17,0,0,0,0,0,0,0,870986,643.608877,19,1250.02,1,0,3,2,1,26,5.940011673,0.1493361246,1,"17,680.14",78.58%,12211,11816,44.79%
2024,Frisco Bowl,Memphis Tigers,American Conference,25,11,633.44,202000,21736,114618,Mostly In-State,76662.376,35.12,-89.94,CST,West Virginia Mountaineers,Big 12 Conference,0,6,684.90,545500,24200,160808,National,184844.76,39.63,-79.95,EST,Toyota Stadium,Frisco ,TX,1,22500,33.15,-96.83,CST,417,1038,12/17/2024,Tuesday,9:00 PM,ESPN,1200000,12022,1072667,11816,0.53,8.5,17,12.5,0,25,0,0,1,0,1068862,727.5069502,417,620.91,0,1,3,2,0,13.5,6.028922044,0.1734570778,0.4444444444,"20,958.48",93.15%,12022,11816,74.33%
