Year,Bowl Game Name,Team 1,Team 1 Conference,Team 1 AP Ranking,Team 1 Wins,Team 1 247 Talent Composite Score,Team 1 Total FB Social Followers,Team 1 Enrollment,Team 1 Total Alumni,Team 1 Alumni Dispersion,Team 1 Brand Power,Team 1 Lat,Team 1 Lon,Team 1 Time Zone,Team 2,Team 2 Conference,Team 2 AP Ranking,Team 2 Wins,Team 2 247 Talent Composite Score,Team 2 Total FB Social Followers,Team 2 Enrollment,Team 2 Total Alumni,Team 2 Alumni Dispersion,Team 2 Brand Power,Team 2 Lat,Team 2 Lon,Team 2 Time Zone,Venue,City,State,Venue Tier,Venue Capacity,Venue Lat,Venue Lon,Venue Time Zone,Team 1 Miles to Venue,Team 2 Miles to Venue,Date,Day of the Week,Local Start Time,Network,Viewers,Attendance,Bowl Avg Viewers,Bowl Avg Attendees,% Filled,Avg Wins,Total Wins,Avg AP Ranking,Best AP Ranking,Worst AP Ranking,SEC Present,Big 10 Present,Big 12 Present,ACC Present,"Combined Fanbase Size 
(social + enrollment + alum)",Avg Distace Traveled,Distance Minimum,Distance Imbalance,"Weekend Indicator (Weekend=1, Else 0)","Matchup Power Score (2=P4vP4, 1=P4vG5, 0=G5vG5)",Bowl Tier,Bowl Ownership,Local Team Indicator,AP Strength Score,Combined Fanbase (Log transformed),MinMax Scale Distcance,AP Strength Normalized,Raw Gradient Boosted Attendance,Gradient Boosted Predicted Attendance,Final Attendance Prediction,Bowl Avg Attendance,Gradient Boosted Predicted % Filled,Bowl Avg % Filled ,Attendance Difference from Avg,% Attendance Difference from Avg,Actual Attendance,Actual % Filled,% Error,Bowl Type,Notes
2025,Pinstripe Bowl,Clemson Tigers,Atlantic Coast Conference,0,7,918.43,1796000,28747,150143,Regional,559931.072,34.679381,-82.835114,EST,Penn State Nittany Lions,Big Ten Conference,0,6,910.42,1169900,50399,523933,National,413807.268,40.7965,-77.862848,EST,Yankee Stadium,Bronx,NY,1,50291,40.829659,-73.926186,EST,645.4971274,205.8679884,12/27/2025,Saturday,0.5,ABC,,,3313333,32169,,6.5,13,0,0,0,0,1,0,0,3719122,425.6825579,205.8679884,439.629139,1,2,1,2,0,26,6.570440542,0.311497432,1,39548.54059,37334.67841,37334.67841,32169,0.7423729576,0.6396571951,5165.67841,0.1605793904,,,,Large,Large brands when bowl usually gets at most one brand name
2025,Pop-Tart Bowl,BYU Cougars,Big 12 Conference,12,11,649.36,379700,35074,236737,Regional,144858.244,40.250851,-111.649281,MST,Georgia Tech Yellow Jackets,Atlantic Coast Conference,24,9,715.56,248300,47946,246242,National,108989.624,33.77242,-84.394832,EST,Camping World Stadium,Orlando,FL,3,60219,28.539143,-81.403076,EST,1892.480735,402.501837,12/27/2025,Saturday,0.6458333333,ABC,,,5500000,43760,,10,20,18,12,24,0,0,0,1,1193999,1147.491286,402.501837,1489.978898,1,2,1,1,0,8,6.077004327,0.9518590741,0.2,36071.74252,38378.21977,40297.13076,43760,0.6691763523,0.7266809479,-3462.869242,-0.07913320936,,,,Large,"Historically gets large brands, smaller fanbase in georgia tech"
2025,Texas Bowl,LSU Tigers,Southeastern Conference,0,7,920.05,2200000,39418,214165,Regional,689668.12,30.414986,-91.178921,CST,Houston Cougars,Big 12 Conference,0,9,656.74,240700,46676,253065,Highly Local,107114.396,29.720393,-95.343537,CST,NRG Stadium,Houston,TX,2,71795,29.68486,-95.411667,CST,258.1214854,4.769569132,12/27/2025,Saturday,0.8854166667,ESPN,,,2840000,54232,,8,16,0,0,0,0,0,1,0,2994024,131.4455273,4.769569132,253.3519163,1,2,1,2,1,26,6.476255422,0.05046136973,1,43044.62398,46400.83679,48720.87863,54232,0.6786110262,0.7553729368,-5511.121371,-0.1016212083,,,,Large,"Houston is local, LSU fans travel well to texas, matchup is better than average for this bowl"
2025,Birmingham Bowl,Georgia Southern Eagles,Sun Belt Conference,0,6,574.48,137100,26041,113407,Mostly In-State,57908.692,32.426153,-81.784045,EST,App State Mountaineers,Sun Belt Conference,0,5,611.31,208900,21253,120159,Mostly In-State,79181.024,36.215536,-81.680583,EST,Protective Stadium,Birmingham ,AL,1,47100,33.505697,-86.799345,CST,300.1296517,345.2997876,12/29/2025,Monday,0.5833333333,ESPN,,,3113333,23255,,5.5,11,0,0,0,0,0,0,0,626860,322.7147196,300.1296517,45.17013583,0,0,2,2,0,26,5.797171251,0.2201482263,1,22491.64182,22720.64927,22720.64927,23255,0.4823917042,0.4937367304,-534.35073,-0.02297788562,,,,Large,
2025,Alamo Bowl,USC Trojans,Big Ten Conference,16,9,847.53,427400,47147,376732,Regional,175661.612,34.021281,-118.284169,PST,TCU Horned Frogs,Big 12 Conference,0,8,745.01,293300,12785,78653,Mostly In-State,98710.304,32.70961,-97.364758,CST,Alamodome,San Antonio ,TX,1,64000,31.77015,-106.504098,CST,700.4951311,537.8987627,12/30/2025,Tuesday,0.875,ESPN,,,5570000,60958,,8.5,17,8,0,16,0,0,1,0,1236017,619.1969469,537.8987627,162.5963684,0,2,1,1,0,18,6.092024795,0.4831761429,0.6444444444,47444.41249,51498.48875,56648.33763,60958,0.8851302754,0.95246875,-4309.662375,-0.07069888079,,,,Large,"Alamo bowl historically overperforms, TCU is regional, bowl is stable demand wise"
2025,Independence Bowl,Coastal Carolina Chanticleers,Sun Belt Conference,0,6,610.88,196600,10829,48892,Regional,66279.352,33.794995,-79.011767,EST,Louisiana Tech Bulldogs,Conference USA,0,7,493.5,110900,11427,58686,Regional,41621.4,32.528297,-92.649963,CST,Independence Stadium,Shreveport,LA,1,50000,32.5135,-93.7436,CST,856.0618246,63.72623999,12/30/2025,Tuesday,0.5833333333,ESPN,,,1523333,30255,,6.5,13,0,0,0,0,0,0,0,437334,459.8940323,63.72623999,792.3355846,0,0,2,1,1,26,5.640814235,0.3418485695,1,29421.64726,29671.65308,29671.65308,30255,0.5934330616,0.6051,-583.34692,-0.01928100876,,,,Large,
2025,Music City Bowl,Tennessee Volunteers,Southeastern Conference,0,8,866.57,1664400,36304,187046,Mostly In-State,525632.028,35.952082,-83.925852,EST,Illinois Fighting Illini,Big Ten Conference,0,8,662.13,312600,56563,390561,Regional,144413.552,40.104718,-88.229114,CST,Nissan Stadium,Nashville,TN,2,68798,36.166321,-86.828275,CST,162.7950124,282.5712938,12/30/2025,Tuesday,0.7291666667,ESPN,,,2816667,45258,,8,16,0,0,0,0,1,0,0,2647474,222.6831531,162.7950124,119.7762814,0,2,1,1,0,26,6.422831868,0.1314039707,1,44722.85203,44883.39642,47127.56624,45258,0.6850136085,0.6578388907,1869.566241,0.04130907775,,,,Large,"both fanbases travel elite, should outperform historical attendance, nashville has demand for this matchup"
2025,Citrus Bowl,Texas Longhorns,Southeastern Conference,14,9,973.54,1596800,53082,472290,Regional,537274.816,30.282825,-97.738273,CST,Michigan Wolverines,Big Ten Conference,18,9,907.22,1792900,52065,379079,National,586553.788,42.278374,-83.73481,EST,Camping World Stadium,Orlando,FL,3,60219,28.539143,-81.403076,EST,989.7313083,958.2774865,12/31/2025,Wednesday,0.625,ABC,,,5065000,43326,,9,18,16,14,18,0,1,0,0,4346216,974.0043974,958.2774865,31.45382178,0,2,1,1,0,10,6.638111406,0.7979480108,0.2888888889,55912.62139,52136.63498,52136.63498,43326,0.8657838054,0.7194739202,8810.63498,0.2033567599,,,,Large,"Massive brands on both sides, one of the strongest matchups of non CFP postseason"
2025,Las Vegas Bowl,Nebraska Cornhuskers,Big Ten Conference,0,7,821.39,679600,15015,155398,Regional,222751.356,40.817598,-96.700508,CST,Utah Utes,Big 12 Conference,15,10,707.86,428900,35260,179042,Mostly In-State,153909.344,40.762484,-111.846044,MST,Allegiant Stadium,Las Vegas,NV,3,65000,36.106047,-115.138462,PST,1046.995905,367.7295047,12/31/2025,Wednesday,0.6458333333,ESPN,,,2756667,25773,,8.5,17,7.5,0,15,0,0,1,0,1493215,707.3627047,367.7295047,679.2664,0,2,2,2,0,18.5,6.174122635,0.5613934977,0.6666666667,24325.28778,24759.60144,24759.60144,25773,0.3809169452,0.3965076923,-1013.39856,-0.03932016296,,,,Large,aligns with historical bowl attendance
2025,Reliaquest Bowl,Iowa Hawkeyes,Big Ten Conference,0,8,710,583000,30042,169836,National,198176,41.661935,-91.536425,CST,Vanderbilt Commodores,Southeastern Conference,13,10,685.42,222300,13456,100893,Very National (Top 10%),79744.668,36.14659,-86.803369,CST,Raymond James Stadium,Tampa,FL,3,65857,28.061458,-82.413232,EST,1071.178359,614.7236887,12/31/2025,Wednesday,0.5,ESPN,,,3395000,33611,,9,18,6.5,0,13,1,0,0,0,1119527,842.9510238,614.7236887,456.4546701,0,2,1,1,0,19.5,6.04903496,0.681682371,0.7111111111,33332.54769,33416.08338,33416.08338,33611,0.5074036683,0.510363363,-194.91662,-0.005799191336,,,,Large,two excellent traveling fanbases
2025,Sun Bowl,Arizona State Sun Devils,Big 12 Conference,0,8,738.52,426800,79593,689851,National,213239.108,33.417721,-111.934383,MST,Duke Blue Devils,Atlantic Coast Conference,0,8,669.18,318300,17112,145247,Very National (Top 10%),113704.772,36.001135,-78.937624,EST,Sun Bowl,El Paso,TX,1,52000,31.863889,-106.337778,MST,342.8242418,1591.196362,12/31/2025,Wednesday,0.5833333333,CBS,,,3010000,44664,,8,16,0,0,0,0,0,0,1,1676903,967.0103021,342.8242418,1248.372121,0,2,2,1,0,26,6.224508201,0.7917431117,1,43669.42875,43967.80013,43967.80013,44664,0.8455346179,0.8589230769,-696.19987,-0.01558749485,,,,Large,
2025,Armed Forces Bowl,Texas State Bobcats,Sun Belt Conference,0,6,612.16,138900,38722,202324,Highly Local,69891.664,29.888885,-97.943029,CST,Rice Owls,American Conference,0,5,530.06,108200,8556,67890,Regional,41172.224,29.717897,-95.402035,CST,Amon G. Carter Stadium,Fort Worth,TX,1,47000,32.70961,-97.364758,CST,197.8717942,237.0220578,1/2/2026,Friday,0.5416666667,ESPN,,,2426667,41819,,5.5,11,0,0,0,0,0,0,0,564592,217.446926,197.8717942,39.1502636,0,0,2,2,0,26,5.751735489,0.1267585864,1,43251.92963,42822.05074,42822.05074,41819,0.9111074626,0.8897659574,1003.05074,0.02398552667,,,,Large,
